ESTACION;LONGITUD;LATITUD
1;-3,691945;40,422501
2;-3,691945;40,409725
35;-3,703333;40,419167
4;-3,712222;40,424167
39;-3,711389;40,478333
6;-3,690833;40,437778
7;-3,680278;40,421669
8;-3,682222;40,421667
9;-3,693611;40,402225
38;-3,706389;40,445278
11;-3,677222;40,451667
12;-3,668611;40,428612
40;-3,651389;40,388056
14;-3,716667;40,385
15;-3,688611;40,468334
16;-3,639167;40,44
17;-3,705;40,346944
18;-3,731944;40,394722
19;-3,741834;40,406567
36;-3,645278;40,40806
21;-3,71742;40,43936
22;-3,715884;40,40465
23;-3,604444;40,45028
24;-3,749167;40,42000
25;-3,6025;40,37944
26;-3,578889;40,46000
27;-3,575;40,47472
47;-3,686667;40,39806
48;-3,690278;40,43972
49;-3,685556;40,40972
50;-3,688333;40,46583
54;-3,611944;40,37278
55;-3,580556;40,46250
56;-3,718611;40,38472
57;-3,660278;40,49417
58;-3,774444;40,51806
59;-3,608889;40,46500
60;-3,689722;40,50056